"DATA_YEAR","VICTIM_ID","INJURY_ID"
2020,139613173,5
2020,139608479,4
2020,139608533,5
2020,139613626,5
2020,139609134,5
2020,139609139,4
2020,139609292,5
2020,139614179,5
2020,139614240,5
2020,139614941,4
2020,139614947,4
2020,139610063,4
2020,139610187,4
2020,139615114,5
2020,139615115,5
2020,139610424,4
2020,139610534,5
2020,139615522,4
2020,139615548,5
2020,139610672,4
2020,139615893,5
2020,139615949,4
2020,139615966,5
2020,139616030,4
2020,139616037,5
2020,139616221,5
2020,139611316,4
2020,139616667,5
2020,139611719,5
2020,139616767,5
2020,139612004,4
2020,139616978,5
2020,139617077,4
2020,139617196,5
2020,139612421,5
2020,139617431,5
2020,139617516,5
2020,139617960,4
2020,139618038,5
2020,139623015,4
2020,139618085,5
2020,139623051,1
2020,139618137,5
2020,139623190,5
2020,139623330,5
2020,139618562,5
2020,139618569,5
2020,139623594,4
2020,139618619,4
2020,139623616,5
2020,139618685,5
2020,139618805,5
2020,139623820,5
2020,139618945,5
