"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,39207177,126806077,1,09-JAN-20,1,"N",16,5,35,"M",2,3,"","","",35,0
2020,39207290,126811316,1,03-JAN-20,1,"N",23,5,39,"M",1,1,"R","","",39,0
2020,39202915,126811359,1,03-JAN-20,2,"N",51,5,46,"M",1,3,"R","","",46,0
2020,39202920,126809369,1,19-JAN-20,1,"N",51,5,37,"M",1,3,"","","",37,0
2020,39207379,126811611,1,11-JAN-20,1,"N",5,5,35,"F",1,3,"N","","",35,0
2020,39207400,126811693,1,23-JAN-20,1,"N",23,5,44,"F",1,3,"","","",44,0
2020,39202990,126811671,1,24-JAN-20,1,"N",51,5,48,"M",1,3,"","","",48,0
2020,39207437,126811809,1,19-JAN-20,2,"N",23,5,13,"M",1,3,"","R","",13,0
2020,39207489,126809811,1,21-JAN-20,1,"N",23,5,36,"M",3,3,"R","","",36,0
2020,39207488,126811952,1,30-JAN-20,2,"N",51,5,12,"F",1,1,"R","R","",12,0
2020,39209185,126826502,1,16-JAN-20,1,"N",16,5,30,"M",1,3,"R","","",30,0
2020,39209550,126825179,1,31-JAN-20,1,"N",44,5,14,"F",0,3,"R","H","",14,0
2020,39209408,126826989,1,08-FEB-20,1,"N",16,5,47,"F",1,2,"N","","",47,0
2020,39209717,126827066,3,09-FEB-20,2,"N",16,5,34,"M",1,2,"N","","",34,0
2020,39217118,126841806,1,29-JAN-20,1,"N",51,5,35,"M",4,2,"R","","",35,0
2020,39217140,126841851,1,30-JAN-20,3,"N",16,5,47,"M",1,3,"N","","",47,0
2020,39212173,126838046,1,10-FEB-20,2,"N",47,5,36,"M",1,2,"R","","",36,0
2020,39217186,126838127,1,04-FEB-20,1,"N",16,5,46,"M",1,2,"R","","",46,0
2020,39217205,126838167,1,07-FEB-20,1,"N",51,5,25,"F",1,3,"R","","",25,0
2020,39217282,126838308,1,14-FEB-20,2,"N",16,5,31,"M",1,3,"U","","",31,0
2020,39212287,126842297,1,15-FEB-20,1,"N",23,5,23,"F",1,3,"U","","",23,0
