"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2020,139298064,2,
2020,139339580,1,
2020,139401634,1,
2020,139402115,6,
2020,139404650,10,
2020,139411660,1,
2020,139411784,1,
2020,139413578,6,
2020,139418197,6,
2020,139418364,9,
2020,139447366,6,
2020,139442756,10,
2020,139453767,6,
2020,139448699,1,
2020,139449370,10,
2020,139449954,6,
2020,139456800,1,
2020,139457264,2,
2020,139451698,10,
2020,139459420,6,
2020,139588323,1,
2020,139588912,6,
2020,139593293,9,
2020,139589077,9,
2020,139594976,6,
2020,139590441,1,
2020,139596251,6,
2020,139596751,1,
2020,139598063,4,
2020,139598793,1,
2020,139604236,6,
2020,139604288,9,
2020,139599292,1,
2020,139605084,1,
2020,139600021,9,
2020,139606098,1,
2020,139600768,1,
2020,139606308,9,
2020,139601306,6,
2020,139602198,1,
2020,139607486,1,
2020,139602536,9,
2020,139602723,1,
2020,139608139,1,
2020,139613060,6,
2020,139608300,1,
2020,139608761,10,
2020,139608763,10,
2020,139613703,10,
2020,139613700,9,
2020,139609179,1,
2020,139614563,1,
2020,139614608,6,
2020,139609773,2,
2020,139610267,9,
2020,139611432,6,
2020,139891211,1,
2020,139887106,9,
2020,139891204,1,
2020,139891464,9,
2020,139891512,1,
