year,state,STATE,county,County,fips,GEOID,total_pop,tHH,tfHH_18,tfHH_65,HH_inc,clf,clf_ue
2019,AR,Arkansas,CLARK ,Clark ,5019,05000US05019,22386,8446,2280,1379,41620,10790,215
,,,,,,,,,,,,,
2019,AR,Arkansas,CLAY ,Clay ,5021,05000US05021,14889,6444,1878,1171,37233,6739,348
,,,,,,,,,,,,,
2019,AR,Arkansas,CLEBURNE ,Cleburne ,5023,05000US05023,25100,10783,2700,2760,44483,10779,465
,,,,,,,,,,,,,
2019,AR,Arkansas,CLEVELAND ,Cleveland ,5025,05000US05025,8128,3217,917,687,46684,3239,178
,,,,,,,,,,,,,
2019,AR,Arkansas,COLUMBIA ,Columbia ,5027,05000US05027,23776,8562,2744,1339,36193,10034,1090
,,,,,,,,,,,,,
2019,AR,Arkansas,CONWAY ,Conway ,5029,05000US05029,20858,8309,2297,1485,42802,9569,642
,,,,,,,,,,,,,
2019,AR,Arkansas,CRAIGHEAD ,Craighead ,5031,05000US05031,107345,41375,14212,5859,47286,53051,3290
,,,,,,,,,,,,,
2019,AR,Arkansas,CRAWFORD ,Crawford ,5033,05000US05033,62739,23958,7910,4366,46828,27282,1241
,,,,,,,,,,,,,
2019,AR,Arkansas,CRITTENDEN ,Crittenden ,5035,05000US05035,48672,19074,6318,2786,40161,22589,1988
,,,,,,,,,,,,,
2019,AR,Arkansas,CROSS ,Cross ,5037,05000US05037,16824,6653,2270,1347,46787,8116,494
,,,,,,,,,,,,,
2019,AR,Arkansas,DALLAS ,Dallas ,5039,05000US05039,7279,2969,735,627,38072,3054,102
,,,,,,,,,,,,,
2019,AR,Arkansas,DESHA ,Desha ,5041,05000US05041,11709,5204,1762,1030,31893,4969,406
,,,,,,,,,,,,,
2019,AR,Arkansas,DREW ,Drew ,5043,05000US05043,18417,7157,2128,1299,46997,8238,319
,,,,,,,,,,,,,
2019,AR,Arkansas,FAULKNER ,Faulkner ,5045,05000US05045,123624,44575,14362,6268,52827,60391,2279
,,,,,,,,,,,,,
2019,AR,Arkansas,FRANKLIN ,Franklin ,5047,05000US05047,17738,6723,1987,1354,38923,6893,212
,,,,,,,,,,,,,
2019,AR,Arkansas,FULTON ,Fulton ,5049,05000US05049,12231,4973,1363,1339,35405,4322,245
,,,,,,,,,,,,,
2019,AR,Arkansas,GARLAND ,Garland ,5051,05000US05051,98555,40209,9941,8758,44777,43613,2392
,,,,,,,,,,,,,
2019,AR,Arkansas,GRANT ,Grant ,5053,05000US05053,18126,6863,2341,1515,55388,8075,315
,,,,,,,,,,,,,
2019,AR,Arkansas,GREENE ,Greene ,5055,05000US05055,44937,17254,5839,3046,47056,20311,1550
,,,,,,,,,,,,,
2019,AR,Arkansas,HEMPSTEAD ,Hempstead ,5057,05000US05057,21842,8094,2863,1741,42860,9663,445
,,,,,,,,,,,,,
2019,AR,Arkansas,HOT SPRING ,Hot Spring ,5059,05000US05059,33597,12599,3710,2607,43889,13968,841
,,,,,,,,,,,,,
2019,AR,Arkansas,HOWARD ,Howard ,5061,05000US05061,13311,5142,1619,907,36059,6011,410
,,,,,,,,,,,,,
2019,AR,Arkansas,INDEPENDENCE ,Independence ,5063,05000US05063,37427,14322,4932,2688,44319,16692,790
,,,,,,,,,,,,,
2019,AR,Arkansas,IZARD ,Izard ,5065,05000US05065,13570,4851,985,1313,42876,5171,446
,,,,,,,,,,,,,
2019,AR,Arkansas,JACKSON ,Jackson ,5067,05000US05067,17027,6137,1708,1154,34109,5992,450
,,,,,,,,,,,,,
2019,AR,Arkansas,JEFFERSON ,Jefferson ,5069,05000US05069,69282,26801,7032,4731,40726,28765,2626
,,,,,,,,,,,,,
2019,AR,Arkansas,JOHNSON ,Johnson ,5071,05000US05071,26372,9682,3234,1754,38511,10861,413
,,,,,,,,,,,,,
2019,AR,Arkansas,LAFAYETTE ,Lafayette ,5073,05000US05073,6800,2784,650,672,32397,2654,143
,,,,,,,,,,,,,
2019,AR,Arkansas,LAWRENCE ,Lawrence ,5075,05000US05075,16549,6463,1937,1276,39993,7113,513
,,,,,,,,,,,,,
2019,AR,Arkansas,LEE ,Lee ,5077,05000US05077,9194,3206,739,687,29681,3180,390
,,,,,,,,,,,,,
2019,AR,Arkansas,LINCOLN ,Lincoln ,5079,05000US05079,13455,3773,1232,866,46596,3286,77
,,,,,,,,,,,,,
2019,AR,Arkansas,LITTLE RIVER ,Little River ,5081,05000US05081,12347,5363,1572,1043,45113,5459,544
,,,,,,,,,,,,,
2019,AR,Arkansas,LOGAN ,Logan ,5083,05000US05083,21668,8417,2714,1773,41466,9659,600
,,,,,,,,,,,,,
2019,AR,Arkansas,LONOKE ,Lonoke ,5085,05000US05085,72528,26895,10237,4184,59094,33780,1212
,,,,,,,,,,,,,
2019,AR,Arkansas,MADISON ,Madison ,5087,05000US05087,16211,6279,1758,1263,41682,6970,296
,,,,,,,,,,,,,
2019,AR,Arkansas,MARION ,Marion ,5089,05000US05089,16476,6782,1377,1862,36719,6035,291
,,,,,,,,,,,,,
